127.0.0.1 - - [07/Jun/2020:04:09:06 +0100] "GET / HTTP/1.1" 404 962
127.0.0.1 - - [07/Jun/2020:04:09:07 +0100] "GET /BTS/index.jsp HTTP/1.1" 200 17440
127.0.0.1 - - [07/Jun/2020:04:09:08 +0100] "GET /BTS/css/publicPages.css HTTP/1.1" 200 3617
127.0.0.1 - - [07/Jun/2020:04:09:08 +0100] "GET /BTS/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2020:04:09:08 +0100] "GET /BTS/css/all.css HTTP/1.1" 200 72670
127.0.0.1 - - [07/Jun/2020:04:09:08 +0100] "GET /BTS/images/filieres/cpi1.jpg HTTP/1.1" 404 1018
127.0.0.1 - - [07/Jun/2020:04:09:08 +0100] "GET /BTS/images/filieres/se1.jpg HTTP/1.1" 404 1016
127.0.0.1 - - [07/Jun/2020:04:09:08 +0100] "GET /BTS/images/gallerie/ibnsina.jpg HTTP/1.1" 200 7689
127.0.0.1 - - [07/Jun/2020:04:09:08 +0100] "GET /BTS/images/filieres/mi2.jpg HTTP/1.1" 404 1016
127.0.0.1 - - [07/Jun/2020:04:09:08 +0100] "GET /BTS/images/filieres/pme-pmi2.jpg HTTP/1.1" 404 1026
127.0.0.1 - - [07/Jun/2020:04:09:08 +0100] "GET /BTS/js/jquery.min.js HTTP/1.1" 200 95962
127.0.0.1 - - [07/Jun/2020:04:09:08 +0100] "GET /BTS/js/popper.js HTTP/1.1" 200 21003
127.0.0.1 - - [07/Jun/2020:04:09:08 +0100] "GET /BTS/js/bootstrap.min.js HTTP/1.1" 200 58072
127.0.0.1 - - [07/Jun/2020:04:09:09 +0100] "GET /BTS/images/filieres/dsi1.jpg HTTP/1.1" 200 6126847
127.0.0.1 - - [07/Jun/2020:04:09:09 +0100] "GET /BTS/webfonts/fa-regular-400.eot? HTTP/1.1" 200 34390
127.0.0.1 - - [07/Jun/2020:04:09:09 +0100] "GET /BTS/webfonts/fa-brands-400.eot? HTTP/1.1" 200 131930
